NAME,AGE,DATE_DE_NAISSANCE,EMAIL_PRO,EMAIL_PERSO
25,21,01-01-1999,eric@dauphine.eu,eric@email.com
franck,21,01-01-1999,franck@dauphine.eu,franck@email.com
edouard,20,01-01-2000,edouard@dauphine.eu,edouard@email.com
jules,29,01-01-1991,jules@dauphine.eu,jules@email.com
anto,vingt,01-01-2000,anto@dauphine.eu,anto@email.com
23,11,01-01-2009,luc@dauphine.eu,luc@email.com
lucas,20,01-01-2000,lucas@dauphine.eu,lucas@email.com
camille,43,01-01-1977,camille@dauphine.psl.eu,camille@email.com
chloe,40,01-01-1980,chloe@lamsade.dauphine.fr,chloe@email.com
mathieu,40,01-01-1980,mathieu@lamsade.dauphine.eu,mathieu@email.com
jean,40,01-01-1980,jean@dauphine.com,jean@email.com
